,a,b,c,k,tau,std(x[-10%:]),x[-1],t/T
22,0.5,0.5,1.0,2.0,3,3.276731050934621e-07,0.6666668183407137,0.033
23,0.5,0.5,1.0,2.0,4,3.3241751842813413e-07,0.6666666130123273,0.034570000000000004
24,0.5,0.5,1.0,5.0,2,3.133670120361848e-07,0.8333333052574273,0.03442
25,0.5,0.5,1.0,5.0,3,2.683471593940383e-07,0.8333333132543939,0.038869999999999995
26,0.5,0.5,1.0,5.0,4,2.953131231143208e-07,0.8333334082533412,0.04453
27,0.5,0.5,1.0,10.0,2,3.0603041023307054e-07,0.9090907928354116,0.038880000000000005
28,0.5,0.5,1.0,10.0,3,2.977802464372011e-07,0.9090909184766499,0.05215
29,0.5,0.5,1.0,10.0,4,2.927764165849542e-07,0.9090907885089949,0.07831
30,0.5,0.5,2.0,0.5,2,3.6428709985409683e-07,0.20000024307173356,0.02757
31,0.5,0.5,2.0,0.5,3,3.3849500808737994e-07,0.20000016381640495,0.02788
32,0.5,0.5,2.0,0.5,4,3.401500936527805e-07,0.19999983726627119,0.02868
33,0.5,0.5,2.0,1.0,2,2.785378944889248e-07,0.33333331074168054,0.02951
34,0.5,0.5,2.0,1.0,3,3.2169939987253247e-07,0.33333346434354705,0.029830000000000002
35,0.5,0.5,2.0,1.0,4,2.7445058370577413e-07,0.3333333200786996,0.030879999999999998
36,0.5,0.5,2.0,2.0,2,3.157538173299468e-07,0.500000005934783,0.03107
37,0.5,0.5,2.0,2.0,3,3.151994844274039e-07,0.5000001175511869,0.03246
38,0.5,0.5,2.0,2.0,4,3.0810287805736475e-07,0.4999998262745837,0.03391
39,0.5,0.5,2.0,5.0,2,2.972857720486987e-07,0.714285552473177,0.03397
40,0.5,0.5,2.0,5.0,3,3.177825684533147e-07,0.7142858658851399,0.03823000000000001
41,0.5,0.5,2.0,5.0,4,3.067096711646919e-07,0.7142856368163212,0.04372
42,0.5,0.5,2.0,10.0,2,2.934557960676705e-07,0.8333331759597337,0.03871
43,0.5,0.5,2.0,10.0,3,2.932893425400848e-07,0.833333199331407,0.05167
44,0.5,0.5,2.0,10.0,4,2.9448020958638327e-07,0.8333332355627749,0.0776
45,0.5,0.5,5.0,0.5,2,3.258106188730873e-07,0.0909093043097046,0.026060000000000003
46,0.5,0.5,5.0,0.5,3,3.635152246084483e-07,0.09090915832580117,0.026330000000000003
47,0.5,0.5,5.0,0.5,4,3.9368065418544e-07,0.09090903147493053,0.0265
48,0.5,0.5,5.0,1.0,2,3.512539772989646e-07,0.16666645007906086,0.02763
49,0.5,0.5,5.0,1.0,3,3.4662105780501105e-07,0.16666686868346597,0.02842
50,0.5,0.5,5.0,1.0,4,3.3153888917189587e-07,0.1666667504618693,0.028820000000000002
51,0.5,0.5,5.0,2.0,2,3.066501399115584e-07,0.28571447621177704,0.02966
52,0.5,0.5,5.0,2.0,3,3.5980028715148895e-07,0.2857142056893333,0.030850000000000002
53,0.5,0.5,5.0,2.0,4,3.363379170087931e-07,0.28571407695305434,0.03218
54,0.5,0.5,5.0,5.0,2,3.4046740413150354e-07,0.5000000293257899,0.032920000000000005
55,0.5,0.5,5.0,5.0,3,2.9976708667000736e-07,0.5000000647045793,0.037200000000000004
56,0.5,0.5,5.0,5.0,4,3.0887220464718006e-07,0.4999998465512612,0.04256
57,0.5,0.5,5.0,10.0,2,2.9858888518761383e-07,0.6666665318310887,0.038119999999999994
58,0.5,0.5,5.0,10.0,3,2.9740839663652654e-07,0.6666666597862855,0.05097
59,0.5,0.5,5.0,10.0,4,2.9294479342099057e-07,0.6666666026028581,0.07636
60,0.5,0.5,10.0,0.5,2,4.332413011837079e-07,0.04761929698231868,0.024300000000000002
61,0.5,0.5,10.0,0.5,3,4.5242728360828673e-07,0.047619123839166444,0.024480000000000002
62,0.5,0.5,10.0,0.5,4,3.860704734524001e-07,0.04761880033499753,0.02498
63,0.5,0.5,10.0,1.0,2,3.870943131514236e-07,0.09090929414579513,0.02618
64,0.5,0.5,10.0,1.0,3,3.747782883304092e-07,0.0909088995775145,0.02686
65,0.5,0.5,10.0,1.0,4,3.7769414653182684e-07,0.09090894114232065,0.02721
66,0.5,0.5,10.0,2.0,2,3.35286611411483e-07,0.16666650152097848,0.02825
67,0.5,0.5,10.0,2.0,3,3.2402906667660576e-07,0.16666649614475493,0.029560000000000003
68,0.5,0.5,10.0,2.0,4,3.728997551647691e-07,0.1666665518835924,0.030780000000000002
69,0.5,0.5,10.0,5.0,2,3.5531885197369566e-07,0.3333334517695135,0.03187
